{'timestamp': '2025-09-23T15:42:32.878851', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 9.608268737792969e-05, 'status': 'error'}
{'timestamp': '2025-09-23T15:42:47.510612', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 0.00020599365234375, 'status': 'error'}
{'timestamp': '2025-09-23T15:46:51.442003', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 0.0005240440368652344, 'status': 'error'}
{'timestamp': '2025-09-23T15:49:32.661672', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 0.0001068115234375, 'status': 'error'}
{'timestamp': '2025-09-23T15:50:39.015928', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 0.00011897087097167969, 'status': 'error'}
{'timestamp': '2025-09-23T15:51:19.188733', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 7.104873657226562e-05, 'status': 'error'}
{'timestamp': '2025-09-23T19:23:36.483266', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 5.078315734863281e-05, 'status': 'error'}
{'timestamp': '2025-09-23T20:32:06.116054', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 0.0007522106170654297, 'status': 'error'}
{'timestamp': '2025-09-24T06:54:52.158418', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 0.0003027915954589844, 'status': 'error'}
{'timestamp': '2025-09-24T09:03:41.483022', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 0.002231121063232422, 'status': 'error'}
{'timestamp': '2025-09-24T09:30:02.608320', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 0.0004000663757324219, 'status': 'error'}
{'timestamp': '2025-09-27T07:46:30.955891', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 0.003263235092163086, 'status': 'error'}
{'timestamp': '2025-09-27T07:46:34.996875', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 0.00013208389282226562, 'status': 'error'}
{'timestamp': '2025-09-27T07:46:39.261367', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 0.00011301040649414062, 'status': 'error'}
{'timestamp': '2025-09-27T08:34:30.899108', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 0.00022411346435546875, 'status': 'error'}
{'timestamp': '2025-09-27T08:34:32.882821', 'request': {'action': 'user_metrics', 'user_id': 'demo_user'}, 'result_keys': ['error', 'user_id'], 'duration_seconds': 1.1920928955078125e-05, 'status': 'error'}
